对象,pattern,观点词,个数
商品,气味 气味 很-,香,1.0
头皮屑,也 不会 有+,痒,1.0
好用,蛮+,确实,1.0
好闻,是 问 我 什么 洗发水 这么+,老,1.0
洗完,头发 之后 很 立体-,蓬松,1.0
追评,洗完 头 很-,干爽,1.0
头发,而且 搭配 使用 水润 亮泽 护发素 可以 使+,好,1.0
头皮,了+,清洁,2.0
效果,也-,一般,1.0
洗发水,真的-,好,4.0
头发,也 挺-,蓬松,1.0
洗发水,味道 特别-,好,1.0
头皮,真的-,很爽,1.0
控油,洗发水 味道 很-,清新,1.0
观念,和 格局 能 把 产品 做 大 做-,强,1.0
洗感,超级-,舒服,3.0
洗发水,质地-,浓稠,1.0
控油,效果 出乎意料 的-,好,1.0
头皮屑,大块 的+,好,1.0
赠送,了-,好,1.0
头发,都-,清爽,1.0
效果,让 我-,惊喜,6.0
好闻,还-,持久,1.0
泡沫,绵密 的+,好,1.0
赠品,也-,不错,2.0
刺激,无+,温和,1.0
商品,气味 还-,不错,2.0
头发,在 清洁 后 依然 保持-,柔软,1.0
油腻,不-,舒服,1.0
洗完,之后 头皮 真的 很-,舒服,1.0
控油,的 效果 是 真的-,好,1.0
购买,的 时候 都 是-,直接,1.0
回来,拧开 闻 起来 很-,舒服,1.0
牌子,的 洗发水-,好,1.0
洗头,也 很 干净 性价比 很-,高,1.0
头发,重新 焕发 出-,健康,1.0
实惠,的 东西 还 这么+,好,1.0
洗护,后 很-,柔顺,1.0
洗完,头顶 是 真的-,蓬松,1.0
控油,效果 真的 很-,持久,2.0
头发,之后 也 很-,柔顺,1.0
洗发水,特别-,好,10.0
价格,的 很 满意+,好,1.0
发根,洗 的 超级-,干净,1.0
成分,很-,温和,2.0
追评,巨巨-,巨好用,1.0
产品质量,挺-,好,1.0
洗完,头-,痒,2.0
喜欢,基本 熬夜 打游戏 都 可以 隔上-,好,2.0
高端,大气 上档次 非常 好用 很-,柔顺,1.0
洗完,头发 也-,很顺,1.0
上买,的 性价比 很-,高,1.0
洗发水,的 这款 香味 是 我-,最爱,1.0
期待,不 辜负 我 的+,完全,1.0
追评,非常 好 非常-,好,1.0
头发,非常-,干净,2.0
洗发水,控油 效果 非常-,好,2.0
回购,的 这 一家 已经 回购-,好,1.0
试用装,洗 着 挺好 的 头发 很-,柔顺,1.0
头发,是 掉 得-,少,1.0
喜欢,的 东西 就 会 复制 这段话 还 会-,认真,1.0
回购,用 已经+,好,1.0
感觉,让 我+,蓬松,1.0
收到,了 非常-,好,1.0
洗完,头发 闻 起来 很-,清新,1.0
洗发水,的 洗感 真的-,很棒,1.0
实惠,的 价格 能 买到 这么-,好,2.0
上头,也 很-,温和,1.0
洗发水,清洁力 和 控油 都 很-,不错,1.0
变得,清爽-,柔顺,1.0
头皮,配方 对+,温和,1.0
评用,了 一次 头皮-,干净,1.0
购买,哦 值得+,好,1.0
商品,包装-,严实,1.0
感觉,真的 很-,不错,1.0
回购,率 特别-,高,1.0
洗完,的 不至于+,不错,1.0
味道,比较-,淡,1.0
追评,头发 总是-,毛躁,1.0
洗完,头-,大,1.0
洗完,后 头发-,明显,1.0
洗完,特别-,清爽,2.0
头顶,很-,清爽,1.0
洗发水,的+,巨好用,1.0
追评,洗发水 洗 得-,头痒,1.0
头发,感觉 很-,好,1.0
洗发水,挖到 了 这款+,幸好,1.0
产品质量,很-,好,3.0
力度,还是-,不错,1.0
洗完,头发 好-,难,1.0
到货,啦 质量-,不错,1.0
品牌,洗发水-,好,1.0
洗完,头发 就 知道 很-,舒服,1.0
牌子,的 洗发水-,确实,1.0
商品,气味 商品 气味 味道-,不错,1.0
洗感,温和-,舒适,1.0
洗完,头发 特别 特别-,柔顺,1.0
感受,到 了 三天 不 洗头 的-,快乐,1.0
保护,得 很-,好,1.0
脱发,了 发现 严重+,长,1.0
寻找,一款-,合适,1.0
不用,护发素 也 变得-,柔软,1.0
洗完,后 头发 的 蓬松 感 也 让 我-,惊喜,1.0
洗发水,红书 中 的 ehd+,小,1.0
头皮,也 感觉-,轻松,1.0
发货,很-,迅速,1.0
头发,还-,蓬松,1.0
洗发水,是 我 用过 的-,最好,1.0
洗完,头发 感觉-,确实,1.0
洗发水,洗完 头 真的 很-,蓬松,1.0
效果,比-,一般,1.0
洗发水,好 用 清洗 过程 泡沫-,丰厚,1.0
味道,都 非常-,好,1.0
洗完,发质-,柔顺,2.0
发现,确实-,好,1.0
成分,都 是 很-,安全,1.0
回购,多款 洗头膏 最好 还是 选择+,好,1.0
头发,都 非常 的-,温和,1.0
泡沫,也-,丰富,2.0
追评,这款 洗发水 颜值 很-,高,1.0
感觉,到 头发-,柔顺,1.0
头皮,都 感觉 清爽-,舒适,1.0
控油,的 味道 很-,香,1.0
快递,也 很-,完整,1.0
卖家,服务态度 也-,不错,1.0
洗完,之后 头发 超级-,蓬松,1.0
商品,气味 洗完 头发 很-,香,1.0
香氛,味道 没有 那么-,重,1.0
洗出来,很-,蓬松,1.0
旗舰店,买 很-,合适,1.0
感觉,挺-,好,2.0
绵密,留香 也-,挺久,1.0
好闻,很-,香,2.0
追评,洗完 头-,痒,1.0
头皮,都 很-,干净,1.0
卖家,服务态度 也-,很好,1.0
味道,也-,持久,1.0
卖家,且 易于 冲洗 洗 后 头发 顺滑+,丰富,1.0
发膜,贴心 还 送 了 两袋+,好,1.0
经营,观念 和 格局 能 把 产品 做 大 做-,强,1.0
头发,出 油-,严重,1.0
洗发露,质量 也 超级-,好,1.0
头发,总是-,毛躁,1.0
东西,比 我 想象 中 的 还要-,完美,1.0
商品,气味 那个 去 油 的 很-,香,1.0
感觉,还-,不错,23.0
去屑,多种+,好,1.0
头发,头皮屑-,少,1.0
商品,气味 气味-,温和,1.0
洗发水,的+,一般,1.0
洗完,头发 很 蓬松-,柔顺,1.0
变得,很-,柔顺,1.0
头发,洗 的 很-,干净,1.0
改善,的 有+,明显,1.0
用用,还-,不错,1.0
足够,的 泡沫 来-,清洁,1.0
好评,不错 洗 了 两天 也-,不痒,1.0
口碑,很-,不错,1.0
冲洗,的 很-,干净,1.0
泡沫,绵密 我 大 油头 洗完 之后 头发 真的 很-,蓬松,1.0
客服,问题+,小,1.0
控油,效果 很-,不错,5.0
洗发水,巨好用 的+,巨巨,1.0
包装,特别-,好,1.0
时间,也 比较-,长,1.0
买来,用 了 一阵子 下来 效果 确实 有-,惊艳,1.0
头发,干 了 看起来-,好,1.0
好闻,味道 很+,蓬松,1.0
头发,变得 很-,蓬松,1.0
满意,亮泽 很+,柔顺,1.0
发现,头皮 真的 比 之前 会-,轻松,1.0
头发,感觉 很-,蓬松,1.0
洗发水,用 过后 很-,清爽,1.0
头发,的 油腻感-,明显,2.0
头发,还是 巨-,蓬松,1.0
洗完,效果 好 很-,不错,1.0
洗发水,的 和 去屑 的+,蓬松,1.0
控油,的 都 非常-,好,1.0
秀发,很-,柔顺,1.0
头皮,还 特别-,痒,2.0
头发,得到 了-,很好,2.0
油头,头皮屑 的 、+,长,1.0
感觉,也 很-,不错,2.0
洗完,很-,蓬松,16.0
头发,还是 很 清爽-,蓬松,1.0
舍友,的 又-,香,1.0
头皮,洗 的 很-,干净,1.0
追评,拍 了-,好,1.0
姐妹,的+,犹豫,1.0
洗完,不-,清爽,1.0
感觉,至少-,蓬松,1.0
洗完,还-,蓬松,2.0
买来,用 过 确实-,不错,1.0
颜值,挺-,高,1.0
试用,后 发现 很-,好,1.0
洗发水,相当-,好,1.0
商品,气味 气味-,好,1.0
味道,还 很-,香,1.0
姐妹,们 也 要-,慎重,1.0
洗发水,不仅 控油 效果-,好,1.0
能力,确实-,不错,1.0
太棒了,每 差 一步 都 是 惊喜 和-,喜悦,1.0
救星,的 洗发水 真的 是 头发 的+,好,1.0
冲洗,时 很-,容易,1.0
推荐,买 的 说 很-,香,1.0
物流,也-,快,3.0
头发,有 很棒 的-,清洁,1.0
追评,我-,直接,1.0
感觉,第二天 头发 不-,清爽,1.0
头皮屑,是 起+,老,1.0
肥皂,都 没 这么-,大,1.0
皮屑,确实-,少,1.0
洗完,的 头发 很-,清爽,1.0
头发,还是 保持-,干爽,1.0
想象,中 的 还要-,完美,1.0
洗完,头发 很润 很-,蓬松,1.0
发现,控油 效果-,确实,1.0
头发,控油 效果 确实-,不错,1.0
控油,洗发水 效果 都-,一般,1.0
洗完,第二天 就-,痒,2.0
头发,非常-,清爽,1.0
试试,所以 买来+,好,1.0
期待,超出 了 我 的+,完全,1.0
洗完,之后 特别 干净-,清爽,1.0
头发,真的 又-,柔顺,1.0
喜欢,这种-,干爽,1.0
头发,轻盈 不-,沉重,4.0
效果,的+,好,1.0
回购,来+,直接,1.0
洗完,头发 蓬松 还-,顺,1.0
价格,挺-,好,1.0
赠送,的 发膜 效果-,不错,1.0
感觉,用 了 还-,不错,1.0
洗感,非常-,舒服,1.0
先用,了-,丰盈,1.0
感觉,更加-,柔软,2.0
感觉,非常-,好,4.0
有用,产品 洗 个 两三天 就 会+,一般,1.0
感觉,第二天 头发 不 清爽 还 头皮-,痒,1.0
花香调,更是 让 人 心情-,愉悦,1.0
香味,让 我 每次 洗发 都 感到 心情-,愉悦,1.0
拥有,蓬松-,高,1.0
心情,的 头发 让 人+,蓬松,1.0
控油,洗发水 用 着 挺-,好,1.0
改善,了 我 的 头皮-,健康,1.0
头发,在-,自由,1.0
护发,数 人+,绝大,1.0
洗发水,便携+,小,1.0
洗头,效果-,不错,2.0
洗完,头发 真的 很-,蓬松,2.0
正装,回购 的+,直接,1.0
用过,还-,挺好,1.0
控油,效果-,很棒,2.0
控油,的+,有效,1.0
气味,气味 很-,香,1.0
洗发水,看着 很-,不错,1.0
顺滑,很-,香,1.0
头发,油头 洗完 之后+,大,1.0
洗完,头 之后 特别-,舒服,1.0
去屑,效果 味道 什么 的 都-,不错,1.0
收到,也-,快,1.0
洗起来,也 特别-,舒适,1.0
气味,味道 非常-,好,1.0
洗发水,用-,完后,1.0
回购,过-,好,2.0
头发,又 顺 又 香 还-,蓬松,1.0
追评,特别-,好,1.0
洗发水,量-,很大,1.0
包装,很-,一般,1.0
清香,很+,不错,1.0
洗发水,给 我 安利 了 这款+,直接,1.0
效果,的 同时 也 有-,蓬松,1.0
洗发水,的+,好,3.0
洗完,头发 很-,柔软,1.0
发质,清爽-,蓬松,1.0
头发,非常-,蓬松,4.0
评论,都-,不错,1.0
洗发露,质量 很-,好,1.0
发货,贼-,快,1.0
感觉,地+,清楚,1.0
时间,超级-,快,1.0
洗完,之后 头发 特别-,舒爽,1.0
头发,特别-,容易,1.0
洗发水,的 香味 也-,不错,1.0
光泽度,很-,高,1.0
头发,不仅-,毛躁,1.0
洗发水,感觉 这 款+,明显,1.0
效果,没有 控油 的+,根本,2.0
洗完,很-,干痒,1.0
头发,也 炒 鸡 的-,蓬松,1.0
发膜,也 很-,香,1.0
上能,买到 质量 这样-,好,2.0
适合,感觉 这 款 洗发水 没有 清扬 更加+,明显,1.0
洗发水,和 护发素 是 我 用过-,最差,1.0
洗发水,是 朋友 使用 以后 觉得-,不错,1.0
洗发水,控油 的 特别-,好,1.0
自用,都 是-,不错,1.0
头发,也 不-,干燥,2.0
物流,快 收到 也 是-,完好,1.0
体验感,很-,好,2.0
好闻,味道+,很棒,1.0
头发,变得 更加-,柔顺,2.0
说用,了 头发-,挺顺,1.0
发质,是 那种-,细软,1.0
追评,个人感觉-,挺好用,1.0
洗发水,性价比 很-,高,2.0
头发,他 不-,蓬松,1.0
气味,气味 很-,细腻,1.0
头皮,的 每 一个 毛孔 都 被-,清洁,1.0
洗发水,可以 保持-,好,1.0
焕发,出-,健康,1.0
控油,效果 真的 很-,强,1.0
追评,真的 特别 特别-,难,1.0
商品,气味-,差,1.0
回购,这 是 第二次+,不错,1.0
感觉,好-,蓬松,1.0
感觉,的+,干爽,1.0
味道,也 特别-,好,1.0
洗发水,使用 感 特别-,好,1.0
头皮,很-,舒服,6.0
包装,太-,简陋,1.0
朋友,推荐 客服 很-,好,1.0
洗完,后 留香-,持久,1.0
购买,用 着 很-,柔顺,1.0
追评,我-,一般,1.0
头发,都 有 很-,严重,1.0
洗完,头发 之后 非常-,蓬松,1.0
建议,大家 买-,柔顺,1.0
气味,蛮 清新 的 味道 也 不会 太-,浓,1.0
泡沫,丰厚-,细腻,1.0
洗出,的 头发 很 蓬松-,柔顺,1.0
发丝,也 是 很-,干净,1.0
绵密,泡沫+,好,1.0
发质,也 变得 更加 健康-,亮丽,1.0
清洁力,非常-,强,1.0
洗完,头 就 感觉 头皮 特别-,清爽,1.0
收到,了 包装-,完好,1.0
洗发水,洗完 头发 真的 很-,蓬松,1.0
改善,油头 现在 明显 有 了+,大,1.0
味道,太-,大,1.0
发膜,还 送 了+,惊喜,1.0
追评,个人 觉得 挺-,好,1.0
头发,蓬松-,持久,1.0
洗发水,味道-,不错,2.0
头发,比较-,柔顺,1.0
控油,效果 让 人-,惊喜,1.0
控油,的 时间-,长,1.0
价格,还-,不贵,1.0
感觉,头发 在-,自由,1.0
不算,很-,低,1.0
感觉,更加-,健康,1.0
控油,效果-,最好,4.0
吹干,以后 是-,蓬松,1.0
感觉,整个 头皮 都 清洗 的 很-,干净,1.0
产品,那样 过于-,浓烈,1.0
顺滑,卖家 服务 也 周到 发货 速度-,快,1.0
代言,的 东西 果然 不会-,差,1.0
洗完,头发 非常-,蓬松,1.0
追评,之前 头发-,老,1.0
包装,很-,精美,1.0
产品,控油 效果 很-,好,1.0
完发,质-,柔顺,1.0
发膜,就 不 需要 用 护发素 和+,根本,1.0
经济,实惠 性价比 很-,高,1.0
洗完,几天 不 洗头 都 还 挺-,蓬松,1.0
外观,感觉 还-,不错,1.0
洗发水,泡沫 非常-,细腻,1.0
护发素,是 我 用过 最差-,最差,1.0
变得,既 干净 又-,柔顺,1.0
洗完,能 感觉 整个 头皮 都 清爽-,干净,1.0
洗完,头发丝 都-,干净,1.0
洗发水,的 控油 蓬松 效果 真的-,不错,1.0
感觉,控油 力度 还是 不错 的 不至于 洗完-,黏腻,1.0
香味,和 控油 效果 都 有-,很高,1.0
包装,也-,完整,1.0
推荐,的 这款 亲测-,有效,1.0
洗发水,的 一款+,柔顺,1.0
评价,看到 这 款+,正巧,1.0
发膜,也 非常-,好,1.0
花香调,清新 而-,持久,1.0
洗完,后 头发 变得-,柔顺,1.0
追评,洗完 头发 很-,蓬松,1.0
效果,是 真的 好 泡沫 绵密 我-,大,1.0
洗发水,是 我 想要 的+,确实,1.0
洗完,头发 后 清爽-,舒适,1.0
感觉,是 贴 在 头发 上 的+,老,1.0
头皮,也 没有-,痒,1.0
头发,感觉 更加-,健康,1.0
头发,就 更-,干净,3.0
赠品,很-,香,1.0
洗发水,的 一款+,最差,1.0
商品,气味 气味 很-,细腻,1.0
气味,闻 着 也 还-,不错,1.0
头发,洗 过后 很-,柔顺,1.0
效果,确实 是 很-,好,1.0
产品,挺-,好,1.0
洗完,不是 很 柔顺 也 不 太-,干燥,1.0
回购,用会+,好,1.0
小样,口子 是-,坏,1.0
洗完,也 不-,干燥,1.0
区别,的 洗发水 会 有+,合适,1.0
洗发水,洗 得-,头痒,1.0
洗发,时 感觉-,温和,1.0
头发,出 油-,明显,1.0
味道,真的 很-,香,1.0
卖家,服务态度 很 好 物流-,快,1.0
洗发水,的 效果 是-,最好,1.0
头皮,和 头发 都 非常 的-,温和,1.0
体验,很-,不错,1.0
按摩,地+,温柔,2.0
小样,出门 的 时候 鞋带-,方便,1.0
头发,明显 感觉 掉-,少,1.0
洗发水,的 控油 效果 真的-,很棒,1.0
头发,变得-,清爽,4.0
洗发水,都 不会 有 这么-,好,1.0
洗完,头发 感觉 至少-,蓬松,1.0
头发,在 洗完 后-,明显,1.0
追评,终于 不用 承受 满头 雪花 的-,痛苦,1.0
商品,气味 很-,清淡,1.0
质感,也 变得 更加-,柔顺,2.0
颅顶,秒 变高+,直接,1.0
减少,很-,明显,1.0
头发,还是-,蓬松,1.0
头发,都 很 干爽-,蓬松,1.0
回购,已经+,好,1.0
赠品,类型 的+,不同,2.0
好看,很-,好,1.0
泡沫,挺 绵密-,丰富,1.0
去屑,情况 也 很-,好,1.0
头发,不油 比较-,舒服,1.0
品质,、 做工 都 非常-,好,1.0
同事,说 超级-,好,1.0
洗完,之后 感觉 特别-,清爽,1.0
追评,非常 好 非常 好 非常 好 非常-,好,1.0
产品,期待-,好,1.0
客服,服务态度 很-,好,1.0
洗发水,这个-,柔顺,1.0
感觉,头发 比 以前-,蓬松,1.0
发丝,也-,柔顺,1.0
洗发水,控油 效果 真心-,不错,1.0
洗完,头发 都 很-,蓬松,2.0
选择,非常-,谨慎,1.0
洗发水,收到 了 特别-,好,1.0
洗发水,真的-,很棒,1.0
洗发水,真好-,很好,1.0
洗完,后 头发 的-,蓬松,1.0
味道,清新 的 让 人 心情 很-,愉悦,1.0
控油,效果 也-,挺好,1.0
能力,也 超级-,好,1.0
时间,长 了 发现-,严重,1.0
超市,都 要-,小,1.0
头皮,不怎么-,痒,1.0
好闻,味道 很+,不错,1.0
到货,时间 超级-,快,1.0
洗完,头 很-,清爽,1.0
产品,中 效果-,最好,3.0
香气,很-,舒服,1.0
流动性,都 很-,好,1.0
气味,味道 很-,清新,2.0
洗完,可以-,明显,1.0
追评,大油头 的 救星 对 油头 真的 太-,友好,1.0
改善,的+,很好,2.0
味道,还-,不错,6.0
感觉,到 头皮 被-,温和,1.0
洗完,头 没多久 就 可以 头皮-,痒,1.0
控油,用+,好,1.0
头皮,感觉 很-,清爽,1.0
洗完,头 还-,清爽,1.0
商品,气味 洗发水 很-,好,1.0
洗发水,不光 控油 效果-,好,1.0
发膜,效果 很-,好,1.0
头发,细软 的 人 用 着-,好,1.0
小瓶,感觉-,不错,1.0
成分,考虑 产品 的+,仔细,1.0
感觉,的+,明显,1.0
头发,又 巨显 发量 的+,蓬松,1.0
改善,有 了+,明显,1.0
出门,带 着-,方便,1.0
头皮,都 清爽-,干净,1.0
高考,的 时候 头发 都 没掉 这么-,快,1.0
商品,气味 蛮-,清新,1.0
头发,很润 很-,蓬松,1.0
商品,气味 非常-,不错,1.0
香氛,洗发水 不仅 能-,有效,1.0
总体,来说-,挺好用,1.0
头发,也 挺-,柔顺,1.0
头皮屑,洗 一天 就-,痒,1.0
服务态度,堪称-,完美,1.0
洗发水,洗完 之后 实在 是 太-,香,1.0
洗发水,能够 彻底-,清洁,1.0
朋友,推荐 给+,疯狂,1.0
过用,着-,挺好,1.0
洗出,的 头发 很-,蓬松,1.0
头皮,很 干净-,清爽,2.0
刷到,的 都 是 说 这个-,好,1.0
能力,非常-,强,1.0
香味,瓶 还 不 知道 什么+,大,1.0
感觉,很-,香,1.0
区别,好-,大,1.0
头发,真的 摸 起来 巨-,柔软,1.0
洗发水,的+,棒,1.0
清香味,道 还-,不错,1.0
清水,好 很-,好,1.0
评用,着-,不错,1.0
洗完,头发-,干净,2.0
味道,很 香 很-,香,1.0
头发,也 变得 超级-,柔软,1.0
搭配,使用 水润 亮泽 护发素 可以 使 头发 非常 的-,蓬松,1.0
洗发水,是 朋友 使用 以后 觉得 很-,不错,1.0
气味,味道-,不重,1.0
客服,了+,错单,1.0
头皮,也 慢慢 的 不怎么-,痒,1.0
头皮,感觉 特别-,清爽,1.0
头发,特别 顺滑-,蓬松,1.0
效果,还-,挺好,1.0
评用,了 之后 第二天 就 头皮-,痒,1.0
控油,效果 也-,不错,8.0
洗头,几天 都 不用+,好,1.0
头发,超级-,柔顺,1.0
油腻,而且 不+,亮丽,1.0
洗发水,效果 很-,好,2.0
商品,气味 产品 特别-,好,1.0
头发,也 超级-,蓬松,1.0
商品,气味 味道 挺-,香,1.0
改善,的+,显著,1.0
洗发水,质量 很-,好,1.0
洗发水,的 控油 效果 让 我-,惊喜,3.0
效果,特别-,好,9.0
不用,天天 洗头 的-,快乐,1.0
去屑,的 感觉-,挺好用,1.0
客服,服务态度 也 很-,好,1.0
物流,信息 也-,快,1.0
购物,真是-,完美,1.0
头发,后 喜欢 这种 干爽 和-,清爽,1.0
价格,也-,不贵,6.0
味道,也 很-,舒服,1.0
发质,看起来 超级-,好,1.0
效果,让 人-,惊喜,1.0
选择,自己-,合适,1.0
头发,感觉-,确实,1.0
洗起来,很 舒服 很-,干净,1.0
用完,了 就 直接 用 了 非常 的 丝滑-,柔顺,1.0
感觉,头皮 很-,舒服,1.0
头发,也 能-,蓬松,1.0
重点,是 还 不会-,干涩,1.0
味道,比 之前-,香,1.0
感觉,确实 会-,蓬松,1.0
头发,经常 出油 又 有 头屑 是 真的 很-,烦人,1.0
洗完,之后 头发 轻盈-,蓬松,1.0
说用,着 还-,不错,1.0
气味,味道 很-,香,5.0
洗完,之后 头发 又 顺 又 香 还-,蓬松,1.0
希望,能 有-,蓬松,1.0
洗发水,对 我 的 发质 来说 效果 特别-,好,1.0
效果,和 润滑 度 都-,不错,1.0
出门,的 时候 鞋带-,方便,1.0
楼层,而且 又 不-,高,1.0
头皮,头发+,干净,1.0
头发,出 油 特别-,厉害,1.0
头发,很-,舒服,3.0
成分,很-,安全,1.0
清洁力,确实 很-,强,1.0
洗发水,生产日期 挺-,新,1.0
总体,还-,不错,1.0
头发,柔顺 不-,毛躁,1.0
正品,不是+,根本,1.0
经典,款 我 觉得 还-,不错,1.0
头皮,瞬间 都 感觉-,清爽,1.0
洗完,头发 不油 比较-,舒服,1.0
头皮,洗完 之后 感觉 特别-,清爽,1.0
质感,有+,蓬松,1.0
产品,的 一款+,很高,1.0
香气,的+,浓郁,1.0
头发,很 蓬松-,柔软,1.0
口碑,还-,不错,1.0
客服,讲解 的 很-,耐心,1.0
包装,不是 很-,好,1.0
试用,过 这个 控油-,蓬松,1.0
追评,去 油 效果 很-,好,1.0
活动,价 还-,便宜,1.0
洗完,头 蓬松度 很-,不错,1.0
追评,控油 非常-,差,1.0
洗头,真的 头发 很-,蓬松,1.0
洗发水,的 要求 特别-,高,1.0
广告,没有+,根本,1.0
控油,能力 很-,好,1.0
泡沫,丰富-,好,1.0
洗发水,很-,好,12.0
心情,很-,愉悦,1.0
洗发水,的 控油+,合适,1.0
泡沫,绵密 我-,大,1.0
控油,能力 很-,强,2.0
正品,质量 很-,好,2.0
头发,后 挺-,蓬松,1.0
追评,洗 了-,好痒,1.0
环境,也 比较-,友好,1.0
服务态度,也-,不错,1.0
客服,也 挺-,好,1.0
出色,的 控油 和-,清洁,1.0
洗完,头发 很-,柔顺,7.0
洗发,体验 更加-,愉悦,1.0
商品,气味 这 款 洗发水 真的 很-,不错,1.0
控油,洗发水 是 我 用过 的-,最好,1.0
洗发水,成分 很-,温和,1.0
包装,也 挺-,漂亮,1.0
洗发水,不仅 可以 让 头发-,健康,1.0
朋友,说-,挺好用,1.0
冲洗,且 易于+,丰富,1.0
头发,比较 干燥 洗 啦 很-,柔顺,1.0
搭配,用 特别-,好,1.0
商家,也 很-,好,1.0
洗出来,特别-,蓬松,1.0
油头,真的 太-,友好,1.0
产品,的 是+,重要,1.0
体验,的 清洁+,很棒,1.0
快递,包装 也 很-,好,1.0
净屑,效果-,好,1.0
头发,的 滋养+,有效,1.0
气味,这个 味道 太-,大,1.0
香味,的+,美妙,1.0
洗完,也 不会 太-,干燥,1.0
组合,都-,挺好用,2.0
感觉,款+,丰盈,1.0
头发,也 很 顺滑-,柔软,1.0
洗发水,的 泡沫 很 丰富 和 很-,容易,1.0
洗完,头发 感觉 头皮 很-,舒服,1.0
家姐,在 我家 洗头发 觉得-,不错,1.0
服务,也 很 好-,耐心,1.0
控油,去屑 效果 都-,不错,2.0
实惠,对 环境 也 比较-,友好,1.0
洗发水,且 不 破坏 头皮 健康 的+,高效,1.0
气味,气味-,好,1.0
头皮,有 一丝丝-,疼,1.0
商品,气味-,干净,1.0
瓶子,外面-,全,1.0
发丝,都-,充满,1.0
追评,泡沫 真的 很-,好,1.0
出油,出 的-,很慢,4.0
味道,很-,香,34.0
客服,给 推荐 的 这款 亲测-,有效,1.0
宝贝,很-,不错,2.0
包装,的 很-,严实,1.0
头发,也 很-,蓬松,7.0
洗完,头 不 需要 抹 发膜 就 很-,容易,1.0
东西,的+,好,1.0
好闻,的 对于 长 头发 妹子 来说 比较-,友好,1.0
观念,和 格局 能 把 产品 做-,大,1.0
感觉,量 有点-,少,1.0
感觉,特别-,干净,1.0
变得,超级-,柔软,1.0
头发,很-,滑顺,1.0
洗完,后 头发-,蓬松,5.0
感觉,头发 超级-,柔顺,1.0
头发,不-,干涩,3.0
洗完,头发 也 不-,暴燥,1.0
头发,都 被-,温柔,1.0
水润,亮泽 护发素 都 是 正品 质量 很-,好,2.0
打开,了 味道 还-,不错,1.0
洗发水,真的 是 救-,老,1.0
回购,用+,好,2.0
头发,好 几天 都 是-,蓬松,1.0
效果,真的 让 我-,惊喜,3.0
价钱,都 很-,合适,1.0
好闻,加上 持久 的-,蓬松,1.0
头发,最近 很-,蓬松,1.0
打开,看看 闻到 了 很 香 很-,香,1.0
洗发,后 蓬松-,柔软,1.0
洗发水,真的 给 了 我-,很大,1.0
洗完,头-,好,1.0
头发,洗完 第一天 一点 也 不-,蓬松,1.0
洗发水,袋子 的+,小,1.0
变得,更加 健康-,亮丽,1.0
洗完,的 头发 真的 摸 起来 巨-,柔软,1.0
洗发水,的+,挺好用,1.0
头发,能 持续保持-,干爽,1.0
味道,也 很-,好,2.0
感觉,效果-,不错,1.0
感觉,头皮 被-,温柔,2.0
洗发水,用 完 之后 三天 头发 还是 很-,清爽,1.0
包装,也 很-,精致,1.0
气味,特别-,好,1.0
香味,很-,重,1.0
效果,宣传 的-,蓬松,1.0
洗发水,让 我 告别 了 油头-,烦恼,1.0
头皮,清除+,有效,1.0
头发,蓬松-,舒服,1.0
太棒了,每 差 一步 都 是-,惊喜,1.0
买来,用 过-,确实,1.0
洗完,头发-,很滑,1.0
油腻,不会 有+,完全,1.0
洗完,头发 特别-,柔顺,1.0
商品,气味 质量 非常-,好,1.0
感觉,打开 闻 的 挺-,香,1.0
洗完,发质 蓬松 又-,柔顺,1.0
感觉,整个 头皮 都 清爽-,干净,1.0
感觉,太-,舒服,1.0
头发,只要 在 外面 洗头 就 容易-,长,1.0
洗发水,的+,便宜,1.0
味道,闻 起来 很-,舒服,1.0
洗发水,是 问 我 什么+,老,1.0
破坏,且 不+,高效,1.0
洗完,之后 头皮-,巨爽,1.0
东西,量-,很足,1.0
追评,控油 效果 很-,不错,1.0
洗完,头发 也 很-,柔顺,4.0
追评,头发 也 太-,柔顺,1.0
追评,在 他家 买 了-,好,1.0
服务,也 很-,好,3.0
洗发水,做到 了 深层 控油 效果 很-,好,1.0
追评,控油 效果 很-,好,3.0
洗发水,就是-,好,1.0
反复,回购-,好,1.0
效果,的 洗发水 可能 还 不 一定 有 它 的+,贵,1.0
洗发露,很-,香,1.0
实在,是 太-,香,1.0
上头,也 很-,舒服,1.0
宝贝,很-,好,3.0
头皮,地 洗去+,温和,1.0
头发,轻盈 不-,粘腻,1.0
洗发水,非常-,好,17.0
头发,也-,不痒,2.0
洗发水,可能 还 不 一定 有 它 的 效果-,好,1.0
香味,怡 人-,柔韧,1.0
尝试,了-,好,1.0
冲洗,掉 之后 就 会 觉得 头发 很-,好,1.0
头发,的+,挺好,1.0
好用,高端 大气 上档次 非常+,精美,1.0
头发,不再 那么-,容易,2.0
头发,也 变得 更加 顺滑-,柔软,1.0
头发,不是 那种-,软软,1.0
头发,都 很-,柔顺,1.0
追评,这款 洗发水 味道 非常-,香,1.0
气味,也 很-,香,2.0
洗发水,味道 很-,香,2.0
冲洗,好+,丰富,1.0
油腻,更加 不会 头皮-,痒,1.0
效果,不是 很-,好,2.0
头发,依然 保持 柔顺 和-,清爽,1.0
头发,也 没有 那么-,粗糙,1.0
头油,头-,痒,3.0
